"project_ID","Project Description","Allocations for Gender Equality","Expected Outcomes","Internal DP Activity IDs","Final Project Results","Activity Created By","Activity Created On","Activity updated by","Activity updated on","Date of Signed Agreement","Proposed Completion Date","Proposed Start Date","Implementation Level","Country","District","SubDistrict","Suco","Donor Group","Donor Type","Aid Modality","Appropriation Category (Only for Actual Disbursements)","Type Of Assistance","Executing Agency","Executing Agency Groups","Implementing Agency","Implementing Agency Groups","RDTL Beneficiary Institutions","RDTL Beneficiary Institution Divisions","RDTL Beneficiary Agency Division COA","Strategic Development Plan Pillars","Strategic Development Plan Sub-Pillars","Structures Column"
"872921011880","The Integrated Programme for Women in Politics and Decision Making (IPWPDM) is a 7-year programme designed to enhance and support women's participation in politics and in decision making at the national, municipal and suco levels. The programme has two ke"," ","Gender aware and effective women are elected into decision making positions in national level state institutions and at the municipal and suco councils. To promote women's participation through transformative leadership in politics and the communities to "," ","Parliamentary Election Law No.6/2006 was amended to No. 7/2011 on June 22nd 2011 increasing the quota of women candidates on political party lists for one in four to one in three.   Gender Resource Centre established to provide support to Parliamentarians","GS NDAE (gsndae@amp.org)","09/05/2012","GS NDAE (gsndae@amp.org)","14/03/2013","01/01/2007","30/06/2012","01/01/2007","National","Timor-Leste"," "," "," ","Australia","Bilateral","Project Support"," - Appropriation Category Unallocated
 - Goods or Services
 - Salaries and Wages","Grant","UN Women","United Nations"," - Alola Fondation
 - Fokupers
 - KOMEG
 - Rede Feto
 - TIDS
 - TLMDC","Domestic NGO"," - Ministry of Agriculture and Fisheries
 - Ministry of Education
 - Ministry of Health
 - Ministry of State Administration
 - National Election Commission
 - National Parliament"," - Ministry  Agriculture & Fisheries - National Directorate of Policy and Planning
 - National Parliament - Parliamentary Secretariat"," - 020104
 - 321101","SOCIAL CAPITAL","SOCIAL INCLUSION"," "
"87292841937","under this project it is expected that a National Population Commission and technical working group is established to formulate a national policy that ensures population, reproductive health and gender concerns are intergrated into all sectoral programmes"," ","Policy makers and planners at the national and sub-national level sensitized on the need to strengthen and operationalize institutional mechanisms for improved coordination and monitoring of population and RH programmes and strategies."," ","policy makers were sensitised on population and development issues","UNFPA User (unfpa@amp.org)","14/08/2012","UNFPA User (unfpa@amp.org)","22/03/2013","","31/12/2014","","National","Timor-Leste"," "," "," ","United Nations","Multilateral","Project Support"," - Appropriation Category Unallocated
 - Goods or Services
 - Salaries and Wages","Grant","United Nations Population Fund","United Nations","United Nations Population Fund","United Nations","Ministry of Finance","Ministry of Finance - National Directorate of Statistics","220702","SOCIAL CAPITAL","HEALTH"," "
"87292841789","Under this the three year joint programme supported by the MDG spanish Fund to build institutional capacity to eliminate gender-based violence and human trafficking and to improve allocation of resources using gender-responsive budgeting. the joint progra"," ","Improve protection of women and girls through the establishment of legal frameworks and mechanisms to uphold their rights","ESC14 (Government of Spain)","National Action Plan is being formulated and to be submitted to Council of Ministers for Approval. Trainings to Police on GBV and Law Against Domestic Violence were conducted in 2011. Socialization on the law was conducted to 442 chefe do sucos in 2011. S","UNFPA User (unfpa@amp.org)","27/04/2012","UNFPA User (unfpa@amp.org)","22/03/2013","01/11/2008","30/08/2012","01/11/2008","National","Timor-Leste"," "," "," ","Spain","Bilateral","Project Support"," - Appropriation Category Unallocated
 - Goods or Services
 - Salaries and Wages","Grant","United Nations Population Fund","United Nations"," "," ","Officer of the Vice Prime Minister, Coordinator of Social Affairs - Secretary State for the Promotion of Equality","Secretariat of State for the Promotion of Equality - National Directorate for Gender Policy Development ","110104","SOCIAL CAPITAL","SOCIAL INCLUSION"," "
"87292364173","Timor-Leste has requested assistance from its development partners to improve its economic integration with Asia. The technical assistance (TA) will respond to this request by helping Timor-Leste prepare for membership of regional economic integration (RE","Neutral","The outcome will be an improved ability to carry out the obligations of membership of REI initiatives, with performance to be measured by confirmation by the ASEAN Secretariat that Timor-Leste has met at least half of the country-specific actions of the A"," ","1. Improved understanding of the implications of  membership of REI initiatives   2. Enhanced policy framework for REI   3. Improved communication with regional organizations and partner countries","ADB User (adb@amp.org)","12/03/2013","ADB User (adb@amp.org)","22/03/2013","","","","National","Timor-Leste"," "," "," ","Japan","Bilateral","Program Support"," - Appropriation Category Unallocated
 - Salaries and Wages"," - Grant
 - Loan","Asian Development Bank","Asian Development Bank Group","Ministry of Foreign Affairs and Cooperation","RDTL Line Ministry"," "," "," "," "," "," "
"87292191125","The proposed Capacity Development Program (PSCDP) aims to improve the ability of the Government of Timor Leste (GoTL) to implement the cornerstone of its national development efforts. This will assist the GoET to achieve a sustainable and effective system"," ","Sustainable and effective system of governance and public administration for the delilvery of high quality public services in Timor-Leste","","Australia has supported the National Institute of Public Affairs to prepare and deliver training modules in public service skills for administrative and senior management staff. Twenty five trainers have been trained to deliver these modules which are exp","AMP Project Manager (atl@amp.org)","24/07/2011","AusAid User (ausaid@amp.org)","27/03/2013","","30/06/2014","","District Level","Timor-Leste","Dili"," "," ","Australia","Bilateral","Project Support"," - Appropriation Category Unallocated
 - Goods or Services","Grant","DFAT - Australian Aid Program","Australia","GRM International","Private"," - Anti Corruption Commission
 - Ministry of State Administration
 - Public Service Commission"," - Anti-corruption Commission Division
 - Office fo the Director General
 - Prime Minister and Presidency of the Council of Ministers - Public Service Commission"," - 270501
 - 550101
 - 560101","INSTITUTIONAL FRAMEWORK","PUBLIC SECTOR MANAGEMENT AND GOOD GOVERNANCE"," "
"87292364261"," "," "," "," "," ","ADB User (adb@amp.org)","27/03/2013","ADB User (adb@amp.org)","27/03/2013","","","","District Level","Timor-Leste","Aileu"," "," ","Asian Development Bank Group","Multilateral"," ","Appropriation Category Unallocated"," "," "," "," "," "," "," "," "," "," "," "
"87292191300","a) establishment of teacher-based non-formalized schools to deliver grade 1-3 schooling to isolated and marginalized groups, b) provision of reading materials & in-service training for teachers in the field of reading instruction, & undertake reading asse"," ","a) establishment of teacher-based non-formalized schools to deliver grade 1-3 schooling to isolated and marginalized groups, b) provision of reading materials & in-service training for teachers in the field of reading instruction, & undertake reading asse","","Increae in the net grade 1 in-take rate from baseline of 46% nationality. The early grade reading assestment has provided a baseline of reading data.","AMP Project Manager (atl@amp.org)","07/08/2011","World Bank User (wb@amp.org)","01/04/2013","01/02/2009","","","Both","Timor-Leste"," - Aileu
 - Ainaro
 - Baucau
 - Bobonaro
 - Cova Lima
 - Dili
 - Ermera
 - Lautem
 - Liquica
 - Manatuto
 - Manufahi
 - Oecussi
 - Viqueque"," "," "," - European Commission
 - Germany"," - Bilateral
 - Multilateral","Project Support","Goods or Services","Grant","World Bank","World Bank Group","Ministry of Education","RDTL Line Ministry","Ministry of Education"," "," ","SOCIAL CAPITAL","EDUCATION AND TRAINING"," "
"87292511674"," "," ","Improved technical skills in agricutural and fisheries production with gender equity, improved organizational skills with gender equity, improved the quality and variety of production, improved the marketing of products.",""," ","AECID User (aecid@amp.org)","08/03/2012","GS NDAE (gsndae@amp.org)","28/05/2013","","","","District Level","Timor-Leste"," - Baucau
 - Lautem
 - Viqueque"," - Ossu
 - Watulari"," ","Spain","Bilateral","Project Support","Appropriation Category Unallocated","Grant"," - DESARROLLO
 - Paz","International NGO","Paz","International NGO","Officer of the Vice Prime Minister, Coordinator of Social Affairs - Secretary State for the Promotion of Equality","Secretariat of State for the Promotion of Equality - National Directorate for Gender Policy Development ","110104","SOCIAL CAPITAL","SOCIAL INCLUSION"," "
"87292191423"," "," ","Improve the condition of President's office and maitenance",""," ","AMP Project Manager (atl@amp.org)","02/10/2011","China User (china@amp.org)","10/06/2013","","","","District Level","Timor-Leste","Dili"," "," ","China","Bilateral","Project Support","Appropriation Category Unallocated","Grant","The People's Republic of China","China","The People's Republic of China","China","Office of the President"," "," ","INFRASTRUCTURE DEVELOPMENT"," "," "
"87292403010","Installing 1.4km irrigation system in Suai-loro Sub-village for enhancing the productivity in target area"," ","To develop the capacity of production in the Suai-loro Village through Irrigation Channel","","Ongoing","JICA User (jica@amp.org)","20/11/2012","JICA User (jica@amp.org)","13/06/2013","05/09/2012","05/09/2013","01/10/2012","District Level","Timor-Leste","Cova Lima","Suai","Suai Loro","Japan","Bilateral","Project Support","Appropriation Category Unallocated","Grant","Government Of Japan","Japan"," - Government Of Japan
 - SADAN SA-NETY"," - Domestic NGO
 - Japan","Ministry of Agriculture and Fisheries","Ministry Agriculture & Fisheries - Directorate Agricultural Services in the District of Covalima","321905","ECONOMIC DEVELOPMENT","AGRICULTURE"," "
"87292403011","Installing 4.5km clean and safe water supply system from 2 water resources to 2 villages in Ermera District","Neutral","To improve the access to clean water in Atsabe Sub-district, thus, to reduce waterborne diseases.","","Ongoing","JICA User (jica@amp.org)","20/11/2012","JICA User (jica@amp.org)","13/06/2013","05/09/2012","05/09/2013","01/10/2012","District Level","Timor-Leste","Ermera","Atsabe","Obulo","Japan","Bilateral","Project Support","Appropriation Category Unallocated","Grant","Government Of Japan","Japan"," "," ","Ministry of Public Works","Ministry of Public Works - National Directorate of Water Quality Control","300803","ECONOMIC DEVELOPMENT","RURAL DEVELOPMENT","Laubono"
"87292411780","To install solar panel pump water system in　Pairara village, Lautem District, and to establish the village committee for its maintenance."," ","To improve water supply system for the villagers by using clean energy."," "," ","Government of Japan User (goj@amp.org)","25/04/2012","JICA User (jica@amp.org)","13/06/2013","21/03/2012","15/01/2013","","District Level","Timor-Leste","Lautem","Lautem","Pairara","Japan","Bilateral","Project Support","Appropriation Category Unallocated","Grant","Government Of Japan","Japan","Masino Foundation","Domestic NGO","Ministry of Public Works","Ministry of Public Works - National Directorate of Water","300801","INFRASTRUCTURE DEVELOPMENT","WATER AND SANITATION"," "
"87292403012","Constructing wheelchair fabrication studio in Dili for the sake of promoting the disable persons for social participation","Neutral","To improve the construction capacity of the wheelchair","","Ongoing","JICA User (jica@amp.org)","20/11/2012","JICA User (jica@amp.org)","13/06/2013","05/11/2012","01/10/2012","01/10/2012","District Level","Timor-Leste","Dili"," "," ","Japan","Bilateral","Project Support","Appropriation Category Unallocated","Grant","Government Of Japan","Japan"," - ASSERT
 - Masino Foundation","Domestic NGO","Ministry of Social Solidarity","Ministry of Social Solidarity - Office of the Director General","290501","SOCIAL CAPITAL","SOCIAL INCLUSION"," "
